DTYYYYMMDD,Ticker,Open,High,Low,Close,Volume,Outlier
2017-08-10,VN30F1M,757.9,757.9,745.5,745.9,367.0,False
2017-08-11,VN30F1M,746.0,746.4,743.4,745.7,510.0,False
2017-08-14,VN30F1M,745.9,748.9,745.7,748.9,707.0,False
2017-08-15,VN30F1M,750.3,750.9,748.0,748.0,946.0,False
2017-08-16,VN30F1M,747.7,748.4,745.1,748.1,1065.0,False
2017-08-17,VN30F1M,748.5,749.8,744.5,744.6,1134.0,False
2017-08-18,VN30F1M,741.5,743.5,741.1,742.9,2490.0,False
2017-08-21,VN30F1M,742.8,743.4,741.6,741.8,2601.0,False
2017-08-22,VN30F1M,741.5,741.7,738.6,738.7,3128.0,False
2017-08-23,VN30F1M,738.5,739.7,737.0,738.8,5824.0,False
2017-08-24,VN30F1M,739.5,742.4,738.6,741.6,6563.0,False
2017-08-25,VN30F1M,741.7,743.3,741.7,743.1,5386.0,FalseS
2017-08-28,VN30F1M,743.4,751.0,743.0,751.0,5662.0,False
2017-08-29,VN30F1M,751.8,752.9,747.0,747.0,5223.0,False
2017-08-30,VN30F1M,748.7,752.6,748.3,752.6,4413.0,False
2017-08-31,VN30F1M,753.0,760.5,752.8,758.1,5359.0,False
2017-09-01,VN30F1M,758.8,762.2,758.6,762.0,5720.0,False
2017-09-04,VN30F1M,760.3499999999999,763.0,759.55,762.5,5150.0,False
2017-09-05,VN30F1M,761.9,763.8,760.5,763.0,4580.0,False
2017-09-06,VN30F1M,762.3,763.5,761.3,763.5,4564.0,False
2017-09-07,VN30F1M,763.5,773.9,763.3,770.0,6142.0,False
2017-09-08,VN30F1M,771.0,776.4,770.9,775.1,6318.0,False
2017-09-11,VN30F1M,774.8,779.6,769.0,769.0,7003.0,False
2017-09-12,VN30F1M,769.0,772.8,766.7,772.6,9529.0,False
2017-09-13,VN30F1M,773.9,778.5,773.7,778.5,7169.0,False
2017-09-14,VN30F1M,779.0,785.5,779.0,784.5,7736.0,False
2017-09-15,VN30F1M,784.6,786.5,782.3,784.5,7175.0,False
2017-09-18,VN30F1M,785.2,793.2,785.2,791.9,6221.0,False
2017-09-19,VN30F1M,792.1,795.9,792.1,792.5,6312.0,False
2017-09-20,VN30F1M,792.5,793.3,789.1,789.9,6765.0,False
2017-09-21,VN30F1M,789.9,790.7,786.0,787.2,4674.0,False
2017-09-22,VN30F1M,786.0,787.7,784.4,785.6,6515.0,False
2017-09-25,VN30F1M,785.6,787.3,785.2,786.0,5199.0,False
2017-09-26,VN30F1M,786.0,787.0,784.6,787.0,4518.0,False
2017-09-27,VN30F1M,787.0,787.6,786.4,787.0,3205.0,False
2017-09-28,VN30F1M,786.9,792.4,786.6,788.0,7975.0,False
2017-09-29,VN30F1M,788.5,791.8,788.3,790.3,7060.0,False
