ticket,date,open,high,low,close,volume
HPG,2025-03-19 07:00:00,27.6,27.6,27.1,27.25,37925600.0
HPG,2025-03-18 07:00:00,27.9,28.05,27.6,27.6,18741700.0
HPG,2025-03-17 07:00:00,27.9,28.15,27.75,27.85,19719700.0
HPG,2025-03-14 07:00:00,27.7,27.85,27.55,27.55,18279900.0
HPG,2025-03-13 07:00:00,27.85,28.05,27.7,27.7,24809400.0
HPG,2025-03-12 07:00:00,28.2,28.2,27.8,27.8,20641600.0
HPG,2025-03-11 07:00:00,27.6,28.15,27.6,28.15,26088500.0
HPG,2025-03-10 07:00:00,28.1,28.2,27.95,27.95,23580500.0
HPG,2025-03-07 07:00:00,28.0,28.1,27.75,28.05,33131200.0
HPG,2025-03-06 07:00:00,27.6,27.95,27.6,27.95,36975600.0
HPG,2025-03-05 07:00:00,27.85,27.9,27.55,27.55,30385500.0
HPG,2025-03-04 07:00:00,28.05,28.05,27.65,27.85,27424100.0
HPG,2025-03-03 07:00:00,28.05,28.25,28.0,28.05,20663700.0
HPG,2025-02-28 07:00:00,28.4,28.4,27.95,28.0,24214400.0
HPG,2025-02-27 07:00:00,27.8,28.45,27.6,28.45,51120800.0
HPG,2025-02-26 07:00:00,27.6,27.95,27.55,27.75,31819600.0
HPG,2025-02-25 07:00:00,27.6,27.7,27.2,27.5,31575300.0
HPG,2025-02-24 07:00:00,28.3,28.3,27.55,27.7,73891100.0
HPG,2025-02-21 07:00:00,26.55,26.6,26.4,26.45,11063800.0
HPG,2025-02-20 07:00:00,26.55,26.6,26.5,26.55,11910400.0
HPG,2025-02-19 07:00:00,26.6,26.6,26.4,26.5,13653000.0
HPG,2025-02-18 07:00:00,26.35,26.6,26.3,26.55,24939500.0
HPG,2025-02-17 07:00:00,26.15,26.25,26.05,26.15,14369400.0
HPG,2025-02-14 07:00:00,26.1,26.3,26.0,26.1,18580600.0
HPG,2025-02-13 07:00:00,25.95,26.0,25.85,25.9,9499100.0
HPG,2025-02-12 07:00:00,26.2,26.2,25.85,25.85,13651300.0
HPG,2025-02-11 07:00:00,25.45,26.1,25.45,26.1,28896000.0
HPG,2025-02-10 07:00:00,26.5,26.5,25.4,25.4,61096500.0
HPG,2025-02-07 07:00:00,26.8,26.8,26.6,26.65,12547400.0
HPG,2025-02-06 07:00:00,26.8,26.95,26.75,26.8,13535000.0
HPG,2025-02-05 07:00:00,26.85,27.0,26.75,26.8,14466500.0
HPG,2025-02-04 07:00:00,26.5,27.0,26.45,26.85,17358200.0
HPG,2025-01-24 07:00:00,26.65,26.65,26.45,26.55,10401300.0
HPG,2025-01-23 07:00:00,26.2,26.75,26.15,26.65,15792000.0
HPG,2025-01-22 07:00:00,26.4,26.4,26.15,26.15,10280000.0
HPG,2025-01-21 07:00:00,26.6,26.6,26.2,26.3,10421500.0
HPG,2025-01-20 07:00:00,26.5,26.75,26.45,26.45,9654200.0
HPG,2025-01-17 07:00:00,26.3,26.5,26.1,26.5,13950100.0
HPG,2025-01-16 07:00:00,26.3,26.45,26.05,26.3,11206800.0
HPG,2025-01-15 07:00:00,26.0,26.25,25.9,26.2,11221600.0
HPG,2025-01-14 07:00:00,25.95,26.0,25.8,25.85,7660700.0
HPG,2025-01-13 07:00:00,25.55,26.05,25.45,25.9,13576000.0
HPG,2025-01-10 07:00:00,26.0,26.1,25.55,25.55,14273600.0
HPG,2025-01-09 07:00:00,26.3,26.3,25.9,26.0,9236900.0
HPG,2025-01-08 07:00:00,26.05,26.25,25.95,26.25,12957600.0
HPG,2025-01-07 07:00:00,26.15,26.4,26.05,26.05,14399600.0
HPG,2025-01-06 07:00:00,26.6,26.7,26.05,26.05,15250500.0
HPG,2025-01-03 07:00:00,26.9,27.0,26.6,26.6,13200100.0
HPG,2025-01-02 07:00:00,26.7,27.05,26.7,27.0,14961200.0
HPG,2024-12-31 07:00:00,26.75,26.75,26.6,26.65,10247400.0
HPG,2024-12-30 07:00:00,26.8,26.85,26.65,26.75,12168200.0
HPG,2024-12-27 07:00:00,27.0,27.0,26.8,26.85,11389200.0
HPG,2024-12-26 07:00:00,27.15,27.2,26.85,27.0,9975100.0
HPG,2024-12-25 07:00:00,26.75,27.15,26.75,27.15,17144300.0
HPG,2024-12-24 07:00:00,26.9,26.9,26.6,26.7,13462400.0
HPG,2024-12-23 07:00:00,26.75,27.05,26.75,27.0,12898800.0
HPG,2024-12-20 07:00:00,26.85,26.95,26.7,26.7,13746900.0
HPG,2024-12-19 07:00:00,27.0,27.15,26.8,26.85,30331800.0
HPG,2024-12-18 07:00:00,27.0,27.35,26.95,27.35,12794200.0
HPG,2024-12-17 07:00:00,27.0,27.1,26.85,27.0,10809400.0
HPG,2024-12-16 07:00:00,27.2,27.35,26.85,27.0,16652700.0
HPG,2024-12-13 07:00:00,27.3,27.4,27.1,27.2,17265900.0
HPG,2024-12-12 07:00:00,27.75,27.9,27.35,27.5,20965100.0
HPG,2024-12-11 07:00:00,27.9,28.15,27.6,27.75,17031500.0
HPG,2024-12-10 07:00:00,27.7,28.2,27.6,27.9,32689300.0
HPG,2024-12-09 07:00:00,27.65,27.9,27.5,27.65,15948700.0
