ticket,date,open,high,low,close,volume
SSI,2025-03-19 07:00:00,26.7,26.85,26.5,26.55,24310900.0
SSI,2025-03-18 07:00:00,27.1,27.45,26.8,26.8,29540500.0
SSI,2025-03-17 07:00:00,27.1,27.15,26.85,27.0,18091800.0
SSI,2025-03-14 07:00:00,27.0,27.2,26.8,26.95,29000300.0
SSI,2025-03-13 07:00:00,26.75,27.4,26.45,26.95,50816000.0
SSI,2025-03-12 07:00:00,26.85,26.95,26.55,26.7,26789200.0
SSI,2025-03-11 07:00:00,26.35,26.7,26.35,26.7,26426500.0
SSI,2025-03-10 07:00:00,27.0,27.25,26.5,26.65,45642300.0
SSI,2025-03-07 07:00:00,27.1,27.15,26.8,26.9,22896800.0
SSI,2025-03-06 07:00:00,26.2,26.95,26.2,26.9,44988800.0
SSI,2025-03-05 07:00:00,26.4,26.65,26.1,26.1,27564200.0
SSI,2025-03-04 07:00:00,26.45,26.6,26.1,26.35,24072400.0
SSI,2025-03-03 07:00:00,26.3,26.8,26.15,26.6,25645100.0
SSI,2025-02-28 07:00:00,26.2,26.8,26.2,26.3,41396500.0
SSI,2025-02-27 07:00:00,25.95,26.1,25.6,26.1,17996300.0
SSI,2025-02-26 07:00:00,25.85,26.1,25.6,25.85,25212900.0
SSI,2025-02-25 07:00:00,25.9,26.2,25.75,25.85,28069100.0
SSI,2025-02-24 07:00:00,25.3,25.85,25.25,25.85,25063000.0
SSI,2025-02-21 07:00:00,25.2,25.4,25.15,25.35,11577200.0
SSI,2025-02-20 07:00:00,25.45,25.55,25.25,25.25,13806600.0
SSI,2025-02-19 07:00:00,25.25,25.4,25.05,25.35,15517000.0
SSI,2025-02-18 07:00:00,25.1,25.3,25.0,25.15,9839100.0
SSI,2025-02-17 07:00:00,24.9,25.35,24.8,25.0,18463600.0
SSI,2025-02-14 07:00:00,25.0,25.3,24.9,24.9,16151100.0
SSI,2025-02-13 07:00:00,24.75,24.9,24.7,24.8,6768300.0
SSI,2025-02-12 07:00:00,24.8,25.05,24.75,24.75,6964800.0
SSI,2025-02-11 07:00:00,24.95,25.0,24.65,24.7,12930400.0
SSI,2025-02-10 07:00:00,24.95,25.15,24.65,24.9,15857200.0
SSI,2025-02-07 07:00:00,25.05,25.2,24.95,25.0,7845200.0
SSI,2025-02-06 07:00:00,25.2,25.4,25.05,25.05,9261600.0
SSI,2025-02-05 07:00:00,25.45,25.45,25.05,25.05,9632200.0
SSI,2025-02-04 07:00:00,24.9,25.45,24.8,25.3,15668800.0
SSI,2025-01-24 07:00:00,25.1,25.25,25.0,25.25,9711000.0
SSI,2025-01-23 07:00:00,24.45,25.25,24.45,25.15,18477200.0
SSI,2025-01-22 07:00:00,24.5,24.75,24.4,24.4,9555200.0
SSI,2025-01-21 07:00:00,24.55,24.8,24.4,24.45,8023600.0
SSI,2025-01-20 07:00:00,24.65,24.65,24.35,24.5,6981800.0
SSI,2025-01-17 07:00:00,24.4,24.6,24.25,24.55,7043000.0
SSI,2025-01-16 07:00:00,24.4,25.2,24.3,24.4,18541100.0
SSI,2025-01-15 07:00:00,24.15,24.35,24.0,24.15,9867500.0
SSI,2025-01-14 07:00:00,24.2,24.2,23.9,23.95,8104900.0
SSI,2025-01-13 07:00:00,23.55,24.3,23.55,24.15,10836600.0
SSI,2025-01-10 07:00:00,24.3,24.55,23.5,23.7,21372700.0
SSI,2025-01-09 07:00:00,24.7,24.95,24.4,24.4,8907600.0
SSI,2025-01-08 07:00:00,24.5,24.8,24.45,24.7,9134400.0
SSI,2025-01-07 07:00:00,25.35,25.35,24.5,24.55,18563600.0
SSI,2025-01-06 07:00:00,25.35,25.5,24.85,24.9,9985000.0
SSI,2025-01-03 07:00:00,25.9,25.95,25.35,25.35,16065900.0
SSI,2025-01-02 07:00:00,26.05,26.35,25.9,25.95,8938200.0
SSI,2024-12-31 07:00:00,26.45,26.45,26.05,26.05,8234000.0
SSI,2024-12-30 07:00:00,26.6,26.9,26.45,26.45,11494000.0
SSI,2024-12-27 07:00:00,26.4,26.7,26.3,26.6,16346900.0
SSI,2024-12-26 07:00:00,26.5,26.6,26.35,26.35,8764400.0
SSI,2024-12-25 07:00:00,26.0,26.75,25.9,26.55,26221100.0
SSI,2024-12-24 07:00:00,25.85,25.95,25.5,25.95,12299200.0
SSI,2024-12-23 07:00:00,26.2,26.3,25.85,25.85,7842600.0
SSI,2024-12-20 07:00:00,26.1,26.25,25.9,26.25,12287800.0
SSI,2024-12-19 07:00:00,25.8,26.2,25.45,26.2,30712700.0
SSI,2024-12-18 07:00:00,26.0,26.2,25.8,26.2,7203300.0
SSI,2024-12-17 07:00:00,26.1,26.15,25.85,26.0,6199400.0
